127.0.0.1 - - [13/Apr/2022:18:20:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:20:16 +0530] "GET /Online_VCDSystem/signup.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:20:17 +0530] "GET /Online_VCDSystem/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:20:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:32:22 +0530] "POST /Online_VCDSystem/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:32:22 +0530] "GET /Online_VCDSystem/signup.jsp?msg=invalid HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:33:27 +0530] "POST /Online_VCDSystem/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:33:27 +0530] "GET /Online_VCDSystem/signup.jsp?msg=invalid HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:33:40 +0530] "GET /Online_VCDSystem/signup.jsp?msg=invalid HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:33:49 +0530] "GET /Online_VCDSystem/signup.jsp?msg=valid HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:35:36 +0530] "GET /Online_VCDSystem/signup.jsp?msg=valid HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:35:43 +0530] "GET /Online_VCDSystem/signup.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:35:59 +0530] "GET /Online_VCDSystem/signup.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:36:35 +0530] "POST /Online_VCDSystem/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:18:36:35 +0530] "GET /Online_VCDSystem/signup.jsp?msg=valid HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [13/Apr/2022:19:05:06 +0530] "GET /Online_VCDSystem/login.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [13/Apr/2022:19:24:17 +0530] "GET /Online_VCDSystem/login.jsp HTTP/1.1" 200 771
